,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
66,adult,fnlwgt,66,32,54,6,1,6,-1,0.031249999999999993,0.031249999999999997,4.0,5.428571428571429,16,110,0.14545454545454545
67,adult,fnlwgt,67,37,63,7,1,14,-1,0.02702702702702703,0.02702702702702703,4.0,4.285714285714286,18,132,0.13636363636363635
68,adult,fnlwgt,68,35,54,6,1,6,-1,0.028571428571428567,0.02857142857142857,4.5,4.625,17,112,0.15178571428571427
69,adult,fnlwgt,69,37,60,6,1,8,-1,0.02702702702702703,0.027027027027027025,4.5,5.25,29,128,0.2265625
70,adult,fnlwgt,70,42,76,5,1,2,-1,0.023809523809523805,0.023809523809523808,6.0,6.555555555555555,27,158,0.17088607594936708
71,adult,fnlwgt,71,38,64,6,1,10,-1,0.026315789473684216,0.02631578947368421,5.0,6.222222222222222,21,134,0.15671641791044777
72,adult,fnlwgt,72,42,61,9,1,9,-1,0.023809523809523808,0.023809523809523808,4.0,4.714285714285714,28,126,0.2222222222222222
73,adult,fnlwgt,73,49,71,7,1,14,-1,0.02040816326530612,0.020408163265306117,5.0,5.444444444444445,22,144,0.1527777777777778
74,adult,fnlwgt,74,38,69,5,1,2,-1,0.02631578947368421,0.02631578947368421,5.0,5.666666666666667,16,142,0.11267605633802817
75,adult,fnlwgt,75,36,60,6,1,8,-1,0.027777777777777776,0.027777777777777776,4.5,4.875,20,126,0.15873015873015872
76,adult,fnlwgt,76,36,52,8,1,16,-1,0.027777777777777776,0.027777777777777776,4.0,4.285714285714286,20,106,0.18867924528301888
77,adult,fnlwgt,77,36,60,6,1,11,-1,0.027777777777777776,0.027777777777777776,4.0,5.571428571428571,21,124,0.1693548387096774
78,adult,fnlwgt,78,37,57,8,1,13,-1,0.027027027027027025,0.02702702702702703,5.0,5.0,19,118,0.16101694915254236
79,adult,fnlwgt,79,39,62,6,1,4,-1,0.02564102564102564,0.02564102564102564,4.5,5.5,16,128,0.125
80,adult,fnlwgt,80,37,55,7,1,12,-1,0.027027027027027032,0.02702702702702703,4.5,4.5,16,114,0.14035087719298245
81,adult,fnlwgt,81,41,60,7,1,13,-1,0.024390243902439025,0.024390243902439022,4.0,5.0,23,122,0.1885245901639344
82,adult,fnlwgt,82,37,65,8,1,6,-1,0.02702702702702703,0.027027027027027025,5.0,5.888888888888889,24,134,0.1791044776119403
83,adult,fnlwgt,83,33,58,5,1,7,-1,0.0303030303030303,0.0303030303030303,4.5,4.875,19,120,0.15833333333333333
